Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3lWhefhMIOQtkb94CLvOdQ,"66ScZxprvrMbCtN4ivA0JX","Between the Concrete & Clouds","Between the Concrete & Clouds","Kevin Devine",2011-09-12,245551,2,spotify:user:1218573018,2023-11-02T15:11:01Z,"brooklyn indie",0.499,0.741,9,-4.675,0,0.0316,0.00793,0.00000684,0.0876,0.666,116.232,4
4oMBEllzAvGNsyYRhulisE,"7xpOvrTzp3BeaBJQ3LPp1n","Them Calling","III","Asteroid",2016-11-11,304241,0,spotify:user:1218573018,2023-11-02T15:11:01Z,"instrumental stoner rock,psychedelic doom,stoner metal,stoner rock,swedish stoner rock",0.383,0.693,2,-6.875,1,0.0339,0.146,0.0132,0.395,0.424,115.251,4
2PcjBbwlEFzquKCLMowu9B,"7xpOvrTzp3BeaBJQ3LPp1n","Wolf & Snake","III","Asteroid",2016-11-11,390746,1,spotify:user:1218573018,2023-11-02T15:11:01Z,"instrumental stoner rock,psychedelic doom,stoner metal,stoner rock,swedish stoner rock",0.254,0.655,0,-7.351,0,0.0406,0.0332,0.772,0.657,0.291,171.949,4
5sKSgf4p72uPTCY5qBvJoE,"5xUf6j4upBrXZPg6AI4MRK","Spoonman","Superunknown (Deluxe Edition)","Soundgarden",1994-03-09,246920,42,spotify:user:1218573018,2023-11-02T15:11:01Z,"alternative metal,alternative rock,classic rock,grunge,hard rock,nu metal,rock",0.458,0.902,7,-5.625,1,0.0314,0.0000218,0.195,0.258,0.827,92.712,4
2bdUkiK4p2wuaqzcBLm1zc,"5xUf6j4upBrXZPg6AI4MRK","4th Of July","Superunknown (Deluxe Edition)","Soundgarden",1994-03-09,308866,53,spotify:user:1218573018,2023-11-02T15:11:01Z,"alternative metal,alternative rock,classic rock,grunge,hard rock,nu metal,rock",0.355,0.754,5,-5.692,0,0.0378,0.118,0.000936,0.175,0.201,142.203,4
6ox3xc5CNTDQiAINfzP8Zw,"5xUf6j4upBrXZPg6AI4MRK","My Wave","Superunknown (Deluxe Edition)","Soundgarden",1994-03-09,312613,53,spotify:user:1218573018,2023-11-02T15:11:01Z,"alternative metal,alternative rock,classic rock,grunge,hard rock,nu metal,rock",0.509,0.95,9,-4.535,0,0.061,0.000132,0.00302,0.0937,0.705,126.591,5
7niLUfkxe4ebzVSID6uE1m,"5xUf6j4upBrXZPg6AI4MRK","Full On Kevin's Mom","Louder Than Love","Soundgarden",1989-01-01,216933,27,spotify:user:1218573018,2023-11-02T15:11:01Z,"alternative metal,alternative rock,classic rock,grunge,hard rock,nu metal,rock",0.246,0.958,9,-9.269,1,0.0662,0.0136,0.076,0.121,0.163,132.498,4
7FRfYOql61DGDp9VPPe2qA,"64tNsm6TnZe2zpcMVMOoHL","Down In A Hole (2022 Remaster)","Dirt (2022 Remaster)","Alice In Chains",1992-09-29,338226,68,spotify:user:1218573018,2023-11-02T15:11:01Z,"alternative metal,alternative rock,grunge,hard rock,nu metal,rock",0.357,0.795,6,-5.909,1,0.0337,0.0134,0.00013,0.111,0.416,97.171,4
6a9SPVrXyrlVh5Fh08f8Bz,"64tNsm6TnZe2zpcMVMOoHL","Rain When I Die (2022 Remaster)","Dirt (2022 Remaster)","Alice In Chains",1992-09-29,361706,60,spotify:user:1218573018,2023-11-02T15:11:01Z,"alternative metal,alternative rock,grunge,hard rock,nu metal,rock",0.422,0.859,9,-6.778,1,0.0757,0.0183,0.000673,0.209,0.203,120.078,3
7lmeHLHBe4nmXzuXc0HDjk,"2d0hyoQ5ynDBnkvAbJKORj","Testify","The Battle Of Los Angeles","Rage Against The Machine",1999-11-02,210133,67,spotify:user:1218573018,2023-11-02T15:11:01Z,"alternative metal,alternative rock,conscious hip hop,funk metal,hard rock,nu metal,political hip hop,post-grunge,rap metal,rap rock,rock",0.47,0.978,7,-5.399,1,0.0727,0.0261,0.0000109,0.356,0.503,117.906,4
