Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1G3YOUoHADFEaijWZcW3vy,"68DWke2VjdDmA75aJX5C57","Trailer Park Hollywood","Trunk Muzik 3","Yelawolf",2019-03-29,237333,40,spotify:user:cgreene312,2024-02-09T20:21:45Z,"alabama rap",0.629,0.681,10,-5.765,0,0.165,0.00911,0,0.256,0.525,172.026,4
1q8gelFgFYUwoWpQV7WNCe,"6ZFv3wQwwWPiVDWhv0mjQK","54-46 Was My Number","In The Dark","Toots & The Maytals",1973-03-01,204026,67,spotify:user:cgreene312,2024-02-13T14:05:28Z,"reggae,roots reggae,ska",0.685,0.36,0,-9.572,1,0.0568,0.18,0,0.112,0.597,160.448,4
07qXFDf7OJ2AsRNPSqObLv,"1Zngx1vu4ARlsOn5MwvOVo","Love Letters","The Shovel vs. The Howling Bones","Lincoln Durham",2012-01-31,177546,26,spotify:user:1218573018,2024-02-14T14:23:35Z,"modern blues,modern blues rock",0.582,0.816,5,-6.751,1,0.0505,0.435,0.00000165,0.111,0.897,100.355,4
67m6HbC29qInoYmFGcKOMy,"1Zngx1vu4ARlsOn5MwvOVo","Clementine","The Shovel vs. The Howling Bones","Lincoln Durham",2012-01-31,202693,36,spotify:user:1218573018,2024-02-14T14:23:43Z,"modern blues,modern blues rock",0.631,0.335,0,-12.25,1,0.0326,0.579,0.000379,0.266,0.844,75.574,4
1VxXSKSd1aSwMVocTjhLWt,"5ujCegv1BRbEPTCwQqFk6t","Hot Rod Heart","Blue Moon Swamp","John Fogerty",2017-11-17,206426,48,spotify:user:1218573018,2024-02-15T21:41:09Z,"album rock,blues rock,classic rock,country rock,folk rock,heartland rock,mellow gold,singer-songwriter,soft rock,southern rock,swamp rock",0.575,0.809,4,-6.015,1,0.0404,0.281,0.0000423,0.0977,0.698,158.341,4
4HdUBpSegZaopeGXiHh7OK,"5ujCegv1BRbEPTCwQqFk6t","Walking In A Hurricane","Blue Moon Swamp","John Fogerty",2017-11-17,221333,38,spotify:user:cgreene312,2024-02-16T00:38:57Z,"album rock,blues rock,classic rock,country rock,folk rock,heartland rock,mellow gold,singer-songwriter,soft rock,southern rock,swamp rock",0.662,0.87,9,-4.966,1,0.0383,0.0907,0.00000271,0.205,0.656,132.877,4
5kXdRIWhGt7jqED7xfLTte,"4LLpKhyESsyAXpc4laK94U","Ride Around","K.I.D.S. (Deluxe)","Mac Miller",2010-08-13,144400,48,spotify:user:cgreene312,2024-02-16T13:53:49Z,"hip hop,pittsburgh rap,rap",0.759,0.898,4,-4.096,1,0.282,0.033,0,0.31,0.556,167.885,4
64rUORJh4zikFaieRu9xVq,"4EVpmkEwrLYEg6jIsiPMIb","Battery Kinzie","Helplessness Blues","Fleet Foxes",2011-05-03,169000,44,spotify:user:1218573018,2024-02-16T19:59:19Z,"chamber pop,folk,indie folk,indie rock,indietronica,modern rock,seattle indie,singer-songwriter,stomp and holler",0.597,0.658,7,-6.288,1,0.0269,0.246,0.0000605,0.111,0.873,138.958,4
0Aveu2KsriohUafrrerz1F,"4BFMTELQyWJU1SwqcXMBm3","Your Pretty Face Is Going to Hell [2023 Remaster] - Iggy Mix","Raw Power (Iggy Mix - 2023 Remaster)","The Stooges",1973-02-06,295178,36,spotify:user:1218573018,2024-02-18T20:56:56Z,"alternative rock,detroit rock,permanent wave,protopunk,punk",0.186,0.997,9,3.744,1,0.154,0.000467,0.0202,0.0644,0.107,157.047,4
00sydAz6PeOxYzwG1dRIPi,"4BFMTELQyWJU1SwqcXMBm3","Search and Destroy [2023 Remaster] - Iggy Mix","Raw Power (Iggy Mix - 2023 Remaster)","The Stooges",1973-02-06,210056,52,spotify:user:1218573018,2024-02-18T20:57:00Z,"alternative rock,detroit rock,permanent wave,protopunk,punk",0.235,0.977,6,0.878,1,0.107,0.00353,0.00604,0.172,0.241,152.952,4
5Mmk2ii6laakqfeCT7OnVD,"6x9QLdzo6eBZxJ1bHsDkjg","Thong Song","Unleash The Dragon","Sisqo",1999-11-30,253733,73,spotify:user:1218573018,2024-02-19T15:28:47Z,"contemporary r&b,dirty south rap,hip pop,r&b,urban contemporary",0.706,0.888,2,-6.959,1,0.0654,0.119,0.0000964,0.07,0.714,121.549,4
