tag,n,use
progressive pop,14,
recommended,14,
reggae,14,
rousing,14,
shit,14,
singer/songwriter,14,1
southern,14,
symphonic,14,
trance,14,
trap,14,
world,14,
4ad,13,
adult contemporary,13,
alternative folk,13,
atmospheric sludge,13,
bands seen live,13,
comedy,13,
dance pop,13,
depressive black metal,13,
depressive rock,13,
dutch,13,
folk noir,13,
groove,13,
illinois,13,
literate,13,
melodic speed metal,13,
modern metal,13,
neo folk,13,
new york city,13,
powerpop,13,
psych,13,
rapcore,13,
songwriter,13,
washington,13,
avantgarde metal,12,
blackened thrash metal,12,
blue eyed soul,12,
brooklyn,12,
dance rock,12,
death,12,
deathrock,12,1
female voices,12,
florida,12,
france,12,
hiphop,12,1
italian,12,
massachusetts,12,
math metal,12,
melodic death,12,
my ladies,12,
new,12,
new wave of traditional heavy metal,12,
nordic,12,
nyc,12,
old school death metal,12,
old school heavy metal,12,
old school punk,12,
pop rap,12,
progressive folk,12,
progressive melodic death metal,12,
riot grrrl,12,
scotland,12,
scottish,12,
seen live twice,12,
seenlive,12,
swedish heavy metal,12,
synthwave,12,1
tennessee,12,
uk metal,12,
vocal,12,
80s metal,11,
alternative rap,11,
check later,11,
conscious hip hop,11,
dub,11,
guitar hero,11,
horror,11,
music,11,
new wave of british heavy metal,11,
occult,11,
organic,11,
orgcore,11,
pagan,11,
polish,11,
proto metal,11,1
punk blues,11,
rock opera,11,
spoken word,11,
swedish death metal,11,
toronto,11,
traditional country,11,
underground,11,
underground rap,11,
usbm,11,
uspm,11,
60's,10,
<3,10,
acoustic rock,10,
alt pop,10,
alternative country rock,10,
alternative dance,10,
american punk,10,
artcore,10,
blackwave,10,
british rock,10,
contemporary country,10,
crank wave,10,
crossover thrash,10,
dance punk,10,
dark wave,10,
detroit,10,
drum and bass,10,
duo,10,
energetic,10,
epic black metal,10,
female guitarists,10,
georgia,10,
good,10,
gothic country,10,
hard n heavy,10,
horror punk,10,
italy,10,
maryland,10,
metal power true,10,
metallic hardcore,10,
michigan,10,
minnesota,10,
new weird america,10,
overrated,10,
passionate,10,
post black,10,
power thrash metal,10,
psychedelia,10,
psychobilly,10,
reflective,10,
rock'n'roll,10,
san francisco,10,
sophisticated,10,
suomi,10,
surf rock,10,
symphonic death metal,10,
us rock,10,
world music,10,
aggressive,9,
alt rock,9,
american rock,9,
apocalyptic folk,9,
asciiecho,9,
avantgarde black metal,9,
bands i've seen live,9,
bbb,9,
bittersweet,9,
brit rock,9,
brooding,9,
chamber folk,9,
crust,9,
danish,9,
death thrash metal,9,
djent,9,
doomgaze,9,
duyster,9,
electro pop,9,
emotional,9,
ethereal wave,9,
european,9,
fantasy,9,
fuzz rock,9,
gospel,9,
gothenburg metal,9,
instrumental rock,9,
kentsimbtemp,9,
male,9,
melbourne,9,
melodic death doom metal,9,
melodic doom death metal,9,
melodic heavy metal,9,
minimal,9,
new metal,9,
new prog,9,
new romantic,9,
norsk,9,
not emo,9,
not metal,9,
not working for me,9,
philadelphia,9,
psychedelic soul,9,
rap metal,9,
saxophone,9,
seen twice,9,
sub pop,9,
swedish power metal,9,
sweet,9,
technical,9,
thrashcore,9,
to listen,9,
warm,9,
